번호,종목코드,종목명,fullcode,상업코드
386,A007280,한국특강,KR7007280001,011
387,A007310,오뚜기,KR7007310006,005
388,A007330,푸른저축은행,KR7007330004,231
389,A007340,디티알오토모티브,KR7007340003,013
390,A007370,진양제약,KR7007370000,266
391,A007390,네이처셀,KR7007390008,266
392,A007460,에이프로젠 MED,KR7007460009,012
393,A007530,영신금속,KR7007530009,268
394,A007540,샘표,KR7007540008,021
395,A007570,일양약품,KR7007570005,009
396,A007575,일양약품우,KR7007571003,009
397,A007590,동방아그로,KR7007590003,008
398,A007610,선도전기,KR7007610009,013
399,A007630,폴루스바이오팜,KR7007630007,016
400,A007660,이수페타시스,KR7007660004,013
401,A007680,대원,KR7007680002,226
402,A007690,국도화학,KR7007690001,008
403,A007700,F&F홀딩스,KR7007700008,006
404,A007720,대명소노시즌,KR7007720006,227
405,A007770,한일화학,KR7007770001,265
406,A007810,코리아써키트,KR7007810005,013
407,A007815,코리아써우,KR7007811003,013
408,A00781K,코리아써키트2우B,KR700781K015,013
409,A007820,에스엠코어,KR7007820004,270
410,A007860,서연,KR7007860000,021
411,A007980,태평양물산,KR7007980006,006
412,A008040,사조동아원,KR7008040008,005
413,A008060,대덕,KR7008060006,021
414,A00806K,대덕1우,KR700806K010,021
415,A008110,대동전자,KR7008110009,013
416,A008120,엠소닉,KR7008120008,699
417,A008250,이건산업,KR7008250003,007
418,A008260,NI스틸,KR7008260002,011
419,A008290,원풍물산,KR7008290009,258
420,A008340,대주코레스,KR7008340002,699
421,A008350,남선알미늄,KR7008350001,011
422,A008355,남선알미우,KR7008351009,011
423,A008370,원풍,KR7008370009,265
424,A008420,문배철강,KR7008420002,011
425,A008470,부스타,KR7008470007,268
426,A008490,서흥,KR7008490005,008
427,A008500,일정실업,KR7008500001,006
428,A008560,메리츠증권,KR7008560005,024
429,A008600,윌비스,KR7008600009,016
430,A008690,한양,KR7008690000,699
431,A008700,아남전자,KR7008700007,013
432,A008730,율촌화학,KR7008730004,008
433,A008770,호텔신라,KR7008770000,016
434,A008775,호텔신라우,KR7008771008,016
435,A008830,대동기어,KR7008830002,270
436,A008870,금비,KR7008870008,010
437,A008930,한미사이언스,KR7008930000,021
438,A008970,동양철관,KR7008970006,011
439,A009070,KCTC,KR7009070004,019
440,A009140,경인전자,KR7009140005,013
441,A009150,삼성전기,KR7009150004,013
442,A009155,삼성전기우,KR7009151002,013
443,A009160,SIMPAC,KR7009160003,012
444,A009180,한솔로지스틱스,KR7009180001,019
445,A009190,대양금속,KR7009190000,011
446,A009200,무림페이퍼,KR7009200007,007
447,A009240,한샘,KR7009240003,016
448,A009270,신원,KR7009270000,006
449,A009275,신원우,KR7009271008,006
450,A009280,다함이텍,KR7009280009,699
451,A009290,광동제약,KR7009290008,009
452,A009300,삼아제약,KR7009300005,266
453,A009310,참엔지니어링,KR7009310004,012
454,A009320,대우부품,KR7009320003,015
455,A009410,태영건설,KR7009410002,018
456,A009415,태영건설우,KR7009411000,018
457,A009420,한올바이오파마,KR7009420001,009
458,A009440,KC그린홀딩스,KR7009440009,021
459,A009450,경동나비엔,KR7009450008,013
460,A009460,한창제지,KR7009460007,007
461,A009470,삼화전기,KR7009470006,013
462,A009520,포스코엠텍,KR7009520008,268
463,A009540,한국조선해양,KR7009540006,015
464,A009580,무림P&P,KR7009580002,007
465,A009620,삼보산업,KR7009620006,268
466,A009680,모토닉,KR7009680000,015
467,A009730,코센,KR7009730003,268
468,A009770,삼정펄프,KR7009770009,007
469,A009780,엠에스씨,KR7009780008,256
470,A009810,엔케이물산,KR7009810003,016
471,A009830,한화솔루션,KR7009830001,008
472,A009835,한화솔루션우,KR7009831009,008
473,A009900,명신산업,KR7009900002,015
474,A009970,영원무역홀딩스,KR7009970005,021
475,A010040,한국내화,KR7010040004,010
476,A010050,우리종금,KR7010050003,021
477,A010060,OCI,KR7010060002,008
478,A010090,이마트에브리데이,KR7010090009,699
479,A010100,한국프랜지,KR7010100006,015
480,A010120,LS ELECTRIC,KR7010120004,013
481,A010130,고려아연,KR7010130003,011
482,A010140,삼성중공업,KR7010140002,015
483,A010145,삼성중공우,KR7010141000,015
484,A010170,대한광통신,KR7010170009,272
485,A010240,흥국,KR7010240000,270
486,A010280,쌍용정보통신,KR7010280006,356
487,A010400,우진아이엔에스,KR7010400000,018
488,A010420,한솔PNS,KR7010420008,016
489,A010470,오리콤,KR7010470003,212
490,A010580,지코,KR7010580009,015
491,A010600,웰바이오텍,KR7010600005,016
492,A010620,현대미포조선,KR7010620003,015
493,A010640,진양폴리,KR7010640001,008
494,A010660,화천기계,KR7010660009,012
495,A010690,화신,KR7010690006,015
496,A010770,평화홀딩스,KR7010770006,015
497,A010780,아이에스동서,KR7010780005,010
498,A010820,퍼스텍,KR7010820009,012
499,A010950,S-Oil,KR7010950004,008
500,A010955,S-Oil우,KR7010951002,008
501,A010960,삼호개발,KR7010960003,018
502,A011000,진원생명과학,KR7011000007,009
503,A011040,경동제약,KR7011040003,266
504,A011070,LG이노텍,KR7011070000,013
505,A011080,형지I&C,KR7011080009,258
506,A011090,에넥스,KR7011090008,004
507,A011150,CJ씨푸드,KR7011150000,005
508,A011155,CJ씨푸드1우,KR7011151008,005
509,A011170,롯데케미칼,KR7011170008,008
510,A011200,HMM,KR7011200003,019
511,A011210,현대위아,KR7011210002,015
512,A011230,삼화전자,KR7011230000,013
513,A011280,태림포장,KR7011280005,007
514,A011300,성안,KR7011300001,006
515,A011320,유니크,KR7011320009,275
516,A011330,유니켐,KR7011330008,004
517,A011370,서한,KR7011370004,226
518,A011390,부산산업,KR7011390002,010
519,A011400,아진카인텍,KR7011400009,699
520,A011420,갤럭시아에스엠,KR7011420007,026
521,A011500,한농화성,KR7011500006,008
522,A011560,세보엠이씨,KR7011560000,226
523,A011690,와이투솔루션,KR7011690005,013
524,A011700,한신기계,KR7011700002,012
525,A011760,현대코퍼레이션,KR7011760006,016
526,A011780,금호석유,KR7011780004,008
527,A011785,금호석유우,KR7011781002,008
528,A011790,SKC,KR7011790003,008
529,A011810,STX,KR7011810009,016
530,A011870,엘티삼보,KR7011870003,699
531,A011930,신성이엔지,KR7011930005,013
532,A012030,DB,KR7012030003,026
533,A012160,영흥,KR7012160008,011
534,A012170,아센디오,KR7012170007,026
535,A012200,계양전기,KR7012200002,012
536,A012205,계양전기우,KR7012201000,012
537,A012280,영화금속,KR7012280004,015
538,A012320,경동인베스트,KR7012320008,021
539,A012330,현대모비스,KR7012330007,015
540,A012340,뉴인텍,KR7012340006,360
541,A012350,대동모빌리티,KR7012350005,699
542,A012450,한화에어로스페이스,KR7012450003,015
543,A012510,더존비즈온,KR7012510004,026
544,A012580,신세계톰보이,KR7012580007,699
545,A012600,센트럴인사이트,KR7012600003,012
